spotcounts,genes,slide,normalisedDepth,ctxdepthInterval,cell.id,ctxdepthInterval_10
7,Id1,009I,0.0518101796914832,1,009I_M4b_E3_Astrocytes_891_4,1
5,Id1,009I,0.020985259976463,1,009I_M4b_E3_Astrocytes_891_5,1
0,Id1,009I,0.0671267317652427,1,009I_M4b_E3_Astrocytes_937_1,1
16,Id1,009I,0.0225830074909881,1,009I_M4b_E3_Astrocytes_937_2,1
3,Id1,009I,0.0702130909205491,1,009I_M4b_E3_Astrocytes_937_5,1
2,Id1,009I,0.026004205211397,1,009I_M4b_E3_Astrocytes_937_7,1
6,Id1,009I,0.0646271445709606,1,009I_M4b_E3_Astrocytes_910_2,1
12,Id1,009I,0.023616516342584,1,009I_M4b_E3_Astrocytes_910_4,1
7,Id1,009I,0.0230259622292613,1,009I_M4b_E3_Astrocytes_910_5,1
12,Id1,009I,0.0193102079670729,1,009I_M4b_E3_Astrocytes_910_7,1
9,Id1,009I,0.0233020510548184,1,009I_M4b_E3_Astrocytes_910_8,1
6,Id1,009I,0.0134638460032384,1,009I_M4b_E3_Astrocytes_632_1,1
7,Id1,009I,0.0348702627268532,1,009I_M4b_E3_Astrocytes_632_2,1
0,Id1,009I,0.0628090527981286,1,009I_M4b_E3_Astrocytes_632_3,1
7,Id1,009I,0.0142948333518418,1,009I_M4b_E3_Astrocytes_630_1,1
9,Id1,009I,0.00872939230362205,1,009I_M4b_E3_Astrocytes_630_2,1
2,Id1,009I,0.0230214764300179,1,009I_M4b_E3_Astrocytes_630_3,1
9,Id1,009I,0.0285491095532442,1,009I_M4b_E3_Astrocytes_650_1,1
2,Id1,009I,0.0790372060582125,1,009I_M4b_E3_Astrocytes_650_3,1
9,Id1,009I,0.0276908416004013,1,009I_M4b_E3_Astrocytes_651_3,1
14,Id1,009I,0.0973706465977436,1,009I_M4b_E3_Astrocytes_651_5,1
8,Id1,009I,0.0351383609523166,1,009I_M4b_E3_Astrocytes_680_1,1
3,Id1,009I,0.0330918488949749,1,009I_M4b_E3_Astrocytes_680_2,1
3,Id1,009I,0.045139268631115,1,009I_M4b_E3_Astrocytes_680_3,1
17,Id1,009I,0.0281607136250041,1,009I_M4b_E3_Astrocytes_890_3,1
11,Id1,009I,0.0330700473174819,1,009I_M4b_E3_Astrocytes_890_4,1
25,Id1,009I,0.0181400952763548,1,009I_M4b_E3_Astrocytes_890_5,1
11,Id1,009I,0.0362817106226929,1,009I_M4b_E3_Astrocytes_652_2,1
21,Id1,009I,0.0318273211234804,1,009I_M4b_E3_Astrocytes_652_3,1
5,Id1,009I,0.0345397664188649,1,009I_M4b_E3_Astrocytes_652_4,1
5,Id1,009I,0.0485534431584401,1,009I_M4b_E3_Astrocytes_652_5,1
4,Id1,009I,0.0330203064992446,1,009I_M4b_E3_Astrocytes_652_6,1
12,Id1,009I,0.0308133679817956,1,009I_M4b_E3_Astrocytes_652_7,1
1,Id1,009I,0.0590657021439167,1,009I_M4b_E3_Astrocytes_652_8,1
2,Id1,009I,0.0193728472186169,1,009I_M4b_E3_Astrocytes_888_2,1
